created_at,created_at_stamp,favorite_count,is_retweet,name,retweet_count,screen_name,text,tweet_id,tweet_url,utc_offset
Wed May 31 19:07:09 +0000 2017,2017-05-31 19:07:09,7,0,The Telegraph,9,Telegraph,"Voters must ask themselves who they can truly trust #TelegraphView #GeneralElection #premium
https://t.co/pmEFi2re1y https://t.co/JQtxrCyuKc",869993669645946881,https://twitter.com/Telegraph/status/869993669645946881,3600
Wed May 31 19:06:45 +0000 2017,2017-05-31 19:06:45,0,0,The Sun,0,TheSun,Adam Johnson’s ex visits paedo footballer in jail ‘after splitting from Bolton striker' https://t.co/8FtRXIyocu https://t.co/9e4BjAezYR,869993570102632448,https://twitter.com/TheSun/status/869993570102632448,3600
Wed May 31 19:06:07 +0000 2017,2017-05-31 19:06:07,85,0,Washington Post,40,washingtonpost,"Review: ""Wonder Woman"" saves the day, in more ways than one https://t.co/QjLPSUb3n4",869993410068832257,https://twitter.com/washingtonpost/status/869993410068832257,-14400
Wed May 31 19:06:03 +0000 2017,2017-05-31 19:06:03,6,0,The Boston Globe,6,BostonGlobe,How 2017 became the official year of the airplane brawl. https://t.co/DZbplIe3lX https://t.co/Ot1UrPBgWb,869993395908956160,https://twitter.com/BostonGlobe/status/869993395908956160,-14400
Wed May 31 19:05:49 +0000 2017,2017-05-31 19:05:49,212,0,BBC News (UK),117,BBCNews,"""This debate shames and demeans us all"" - applause for SNP's Angus Robertson on immigration #BBCDebate… https://t.co/L9j0OHqxZd",869993333690478593,https://twitter.com/BBCNews/status/869993333690478593,3600
Wed May 31 19:05:37 +0000 2017,2017-05-31 19:05:37,0,1,The Sun,13,TheSun,"RT @TheSunFootball: Jose Mourinho 'open to selling Anthony Martial this summer'
https://t.co/RVXAP4KMYl https://t.co/XUxN1mdRRh",869993283988140036,https://twitter.com/TheSun/status/869993283988140036,3600
Wed May 31 19:05:34 +0000 2017,2017-05-31 19:05:34,76,0,USA TODAY,47,USATODAY,Elon Musk: I'm out of Trump council if Paris climate change deal dies https://t.co/9FCmlPp0di https://t.co/N5QfMdrC2U,869993273665830913,https://twitter.com/USATODAY/status/869993273665830913,-14400
Wed May 31 19:05:30 +0000 2017,2017-05-31 19:05:30,5,0,The Guardian,3,guardian,Manchester City to promote trio of youngsters to Pep Guardiola’s first team https://t.co/y6cU5f0qrQ via @guardian_sport,869993254158188544,https://twitter.com/guardian/status/869993254158188544,3600
Wed May 31 19:05:29 +0000 2017,2017-05-31 19:05:29,59,0,ABC News,36,ABC,President Trump​ welcomes Vietnamese PM Nguyen Xuan Phuc at the White House. https://t.co/uPiFajidTE https://t.co/3yL179IYTK,869993252459511808,https://twitter.com/ABC/status/869993252459511808,-14400
Wed May 31 19:05:25 +0000 2017,2017-05-31 19:05:25,170,0,Washington Post,137,washingtonpost,"""Something fishy"" is going on with Trump’s twitter account, researchers say https://t.co/rWGrpvUjFt",869993236697411585,https://twitter.com/washingtonpost/status/869993236697411585,-14400
Wed May 31 19:05:24 +0000 2017,2017-05-31 19:05:24,0,1,Bloomberg,1,business,RT @BloombergCA: Short seller Carson Block isn't impressed with Canada these days https://t.co/KtP8u8vLop https://t.co/XOtSXND62R,869993229776674816,https://twitter.com/business/status/869993229776674816,-14400
Wed May 31 19:05:13 +0000 2017,2017-05-31 19:05:13,3,0,Bloomberg,2,business,"To repeal Obamacare, the Senate may have to keep some of its taxes https://t.co/OmNjTKpwIj https://t.co/7IBecFYY5X",869993182397734912,https://twitter.com/business/status/869993182397734912,-14400
Wed May 31 19:05:05 +0000 2017,2017-05-31 19:05:05,45,0,TIME,42,TIME,"Republican congressman says God will ""take care of"" climate change https://t.co/MUZ11hw7Dy",869993149736771584,https://twitter.com/TIME/status/869993149736771584,-14400
Wed May 31 19:05:03 +0000 2017,2017-05-31 19:05:03,14,0,Wall Street Journal,11,WSJ,"Fed's Beige Book reports slower growth, less optimism in some regions https://t.co/tEliSro47d",869993142526857223,https://twitter.com/WSJ/status/869993142526857223,-14400
Wed May 31 19:05:00 +0000 2017,2017-05-31 19:05:00,7,0,The Independent,6,Independent,"Psychologists say everyone is keeping 13 secrets, and five of them you’ve never told anybody https://t.co/mAjXOCDWna",869993131172691969,https://twitter.com/Independent/status/869993131172691969,3600
Wed May 31 19:04:51 +0000 2017,2017-05-31 19:04:51,26,0,CNN,15,CNN,"Spicer on climate agreement: Trump's comments on this, that he'll be making a decision in the next few days, stand https://t.co/r9FK4lQOvI",869993090974490626,https://twitter.com/CNN/status/869993090974490626,-14400
Wed May 31 19:04:35 +0000 2017,2017-05-31 19:04:35,1,0,The Times of London,0,thetimes,#GE2017: Five things you need to know today #BBCDebate https://t.co/C6SR1X59yI https://t.co/NC9NZOMfWJ,869993026172604416,https://twitter.com/thetimes/status/869993026172604416,3600
Wed May 31 19:02:58 +0000 2017,2017-05-31 19:02:58,0,0,SFGate,1,SFGate,'It was forced on me': Legal child marriage in the US https://t.co/I0SQJJU3Ir https://t.co/CNxjsd6UEs,869992616716193792,https://twitter.com/SFGate/status/869992616716193792,-25200
Wed May 31 19:02:51 +0000 2017,2017-05-31 19:02:51,1,0,SFGate,2,SFGate,Duterte attacks Chelsea Clinton for comments on rape https://t.co/SsDJvOmjt7 https://t.co/KadoJy6xai,869992587364450304,https://twitter.com/SFGate/status/869992587364450304,-25200
Wed May 31 19:02:45 +0000 2017,2017-05-31 19:02:45,8,0,SFGate,6,SFGate,Musk threatens to quit Trump's councils over Paris decision https://t.co/eY2huBJwaK https://t.co/1R8uoD8VN1,869992564752920576,https://twitter.com/SFGate/status/869992564752920576,-25200
